Data properties:
 
Recording date: 18.4.2008
Recording time : 14:44:42:317 (corresponds to time 0)
Study: 8puzzle
Subject: Niko1
Recording: Niko
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Fixation radius: 30
Min duration: 100
 
 
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)	Fixation	GazepointX	GazepointY	Event	Event Key	Data 1	Data 2	Description
19	1	557	457	0.771	0.446	630.639	4.716	0	608	517	0.475	0.464	638.907	4.722	0	1	588	471	 	 	 	 	 
39	2	602	459	0.769	0.445	630.639	4.735	0	585	473	0.474	0.464	638.907	4.485	0	1	588	471	 	 	 	 	 
59	3	602	493	0.768	0.445	630.639	4.668	0	594	485	0.472	0.463	638.907	4.501	0	1	588	471	 	 	 	 	 
79	4	594	440	0.766	0.444	630.639	4.855	0	593	480	0.471	0.462	638.907	4.572	0	1	588	471	 	 	 	 	 
99	5	620	449	0.765	0.444	629.735	4.852	0	583	461	0.469	0.462	637.405	4.435	0	1	588	471	 	 	 	 	 
119	6	582	483	0.763	0.443	629.735	4.836	0	595	472	0.467	0.461	637.405	4.613	0	1	588	471	 	 	 	 	 
139	7	557	480	0.761	0.443	629.734	4.737	0	569	477	0.465	0.461	637.405	4.704	0	1	588	471	 	 	 	 	 
159	8	575	475	0.759	0.442	629.735	4.697	0	586	487	0.463	0.461	637.405	4.470	0	1	588	471	 	 	 	 	 
179	9	582	448	0.757	0.442	629.735	4.792	0	606	488	0.461	0.461	637.405	4.529	0	1	588	471	 	 	 	 	 
199	10	574	441	0.755	0.442	630.457	4.734	0	598	493	0.459	0.461	638.043	4.513	0	1	588	471	 	 	 	 	 
219	11	629	522	0.753	0.442	630.458	4.644	0	657	528	0.458	0.461	638.044	4.487	0	2	663	522	 	 	 	 	 
239	12	659	505	0.752	0.442	630.459	4.655	0	675	542	0.456	0.462	638.044	4.580	0	2	663	522	 	 	 	 	 
258	13	641	514	0.751	0.442	630.458	4.588	0	683	539	0.455	0.462	638.045	4.513	0	2	663	522	 	 	 	 	 
