Timestamp,Number,GazepointX (L),GazepointY (L),CamX (L),CamY (L),Distance (L),Pupil (L),Validity (L),GazepointX (R),GazepointY (R),CamX (R),CamY (R),Distance (R),Pupil (R),Validity (R),Fixation,GazepointX,GazepointY,Event,Event Key,Data 1,Data 2,Description,eventFixation
4761, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,36,,13.0
221607, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,381.0
243147, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,433.0
250755, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,454.0
251602, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,458.0
254545, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,466.0
256634, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,474.0
259433, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,481.0
261128, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,486.0
263040, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,491.0
265096, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,497.0
271719, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,511.0
273399, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,515.0
274534, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-694,335,,518.0
361479, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,677.0
364223, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,683.0
366127, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,687.0
370671, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,701.0
375485, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,718.0
387468, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,755.0
389483, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,760.0
391026, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,764.0
397073, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,781.0
399434, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,788.0
402145, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,795.0
454657, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,904.0
457816, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,914.0
462527, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,926.0
464622, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,930.0
480444, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,966.0
483123, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,972.0
486139, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-686,291,,980.0
492394, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-681,285,,1000.0
497057, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-680,282,,1014.0
498288, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-680,282,,1017.0
500848, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-680,282,,1025.0
502409, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-680,282,,1028.0
511975, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-672,275,,1050.0
512974, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-670,271,,1053.0
514678, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-670,271,,1056.0
515558, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-665,271,,1058.0
517932, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-664,271,,1061.0
520941, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-664,270,,1067.0
522037, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-664,270,,1072.0
523317, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-664,270,,1077.0
524830, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-664,270,,1080.0
528021, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-664,269,,1089.0
535394, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-664,265,,1106.0
537394, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-664,265,,1110.0
538522, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-663,262,,1114.0
539490, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-663,262,,1116.0
541385, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-663,262,,1121.0
548119, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-653,262,,1137.0
549128, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-653,261,,1140.0
550312, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-653,261,,1144.0
558087, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-653,260,,1157.0
559351, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-653,257,,1160.0
560686, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-653,256,,1162.0
567245, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-652,254,,1175.0
569173, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-652,254,,1182.0
570045, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-652,254,,1185.0
573412, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-652,253,,1192.0
576284, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-651,250,,1198.0
578844, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-629,255,,1204.0
580699, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-631,255,,1207.0
582314, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-631,255,,1210.0
583234, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-631,255,,1212.0
585234, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-631,255,,1217.0
587042, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-631,255,,1225.0
588018, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-631,255,,1227.0
590969, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-630,249,,1234.0
591921, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-630,249,,1237.0
593360, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-630,249,,1241.0
594465, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-630,249,,1245.0
