Timestamp,Number,GazepointX (L),GazepointY (L),CamX(L),CamY(L),Distance(L),Pupil (L),Validity (L),GazepointX (R),GazepointY (R),CamX(R),CamY(R),Distance(R),Pupil (R),Validity (R),Fixation,GazepointX,GazepointY,Event,EventKey,Data 1,Data 2,Description,eventFixation
3015, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1280,205,,10.0
185381, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-567,389,,397.0
190826, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-567,389,,414.0
191610, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-567,389,,415.0
192634, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-567,389,,416.0
195289, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-567,394,,-1.0
196289, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-567,394,,427.0
196945, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-580,379,,428.0
198121, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-578,395,,431.0
199001, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-578,395,,433.0
199888, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-578,395,,434.0
200784, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-578,395,,435.0
201552, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-578,395,,436.0
248168, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,559.0
252199, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,568.0
254335, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,572.0
255519, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,574.0
261774, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,593.0
263909, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,596.0
265270, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,598.0
265821, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,599.0
266413, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,599.0
267565, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,603.0
268685, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-539,450,,604.0
273508, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,616.0
274611, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,617.0
275747, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,618.0
276692, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,622.0
277931, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,626.0
278948, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,629.0
279459, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,630.0
280866, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,634.0
281874, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,635.0
283771, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,639.0
284363, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,641.0
286434, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,645.0
287522, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,646.0
288730, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,649.0
291857, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,658.0
294953, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,667.0
296968, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,670.0
298583, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,671.0
304727, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,684.0
305503, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,686.0
307374, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,690.0
309958, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,694.0
312621, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-537,454,,698.0
315357, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-535,460,,704.0
316437, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-535,460,,708.0
317733, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-535,460,,709.0
318724, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-535,460,,712.0
349712, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-535,460,,778.0
350712, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-535,460,,-1.0
355062, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-972,209,,790.0
364501, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,818.0
365468, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,820.0
366700, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,824.0
367940, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,825.0
369804, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,831.0
372004, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,836.0
372971, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,838.0
375595, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,845.0
377803, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,848.0
385825, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,870.0
386713, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,872.0
388889, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,876.0
391168, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,881.0
392120, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,883.0
392992, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,884.0
393888, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,885.0
395168, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,887.0
396487, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,889.0
397487, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,892.0
398959, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,895.0
401046, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,900.0
402606, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,901.0
404775, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,906.0
405438, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,907.0
409325, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,913.0
411709, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,920.0
413885, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,926.0
415101, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,928.0
415956, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,932.0
417221, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,935.0
418684, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,937.0
420043, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,940.0
421020, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,942.0
421931, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,943.0
422915, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-970,213,,946.0
458526, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1018,532,,1019.0
460828, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1018,532,,1025.0
468069, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1017,533,,1048.0
468923, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1050.0
472675, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1058.0
473563, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1060.0
486129, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1089.0
486720, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1089.0
489296, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1096.0
490000, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1098.0
491251, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1102.0
492223, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1104.0
493399, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1108.0
494799, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1110.0
495961, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1112.0
496850, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1113.0
503926, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1131.0
505141, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-1020,534,,1134.0
506629, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-649,553,,1139.0
507453, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-649,553,,1141.0
511076, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-646,557,,1149.0
511709, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-645,557,,1151.0
512308, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-645,557,,1153.0
535257, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1210.0
536624, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1214.0
537664, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1215.0
538568, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1217.0
540304, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1222.0
541111, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1224.0
541839, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1225.0
542544, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1226.0
543215, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1228.0
546014, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1237.0
550446, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1252.0
551294, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1254.0
551821, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-648,558,,1254.0
552686, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-677,594,,1256.0
553781, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-677,594,,1260.0
557196, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1271.0
558652, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1274.0
563648, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1284.0
578665, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1321.0
579944, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1324.0
596790, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1368.0
597406, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1369.0
599982, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1377.0
600558, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1378.0
605229, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1389.0
606389, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-674,592,,1393.0
616971, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,0,692,,1416.0
619041, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-91,715,,1421.0
619858, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-94,720,,1422.0
620618, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-94,720,,1423.0
621273, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-94,720,,1424.0
621954, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-92,723,,1425.0
624329, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-92,723,,1430.0
625051, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-92,723,,1432.0
625481, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-92,723,,1433.0
625881, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-91,723,,1433.0
626585, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-88,725,,1435.0
627569, , , , , , , ,5, , , , , , ,5, , , ,LMouseButton,1,-88,725,,1437.0
